game,Date,Opponent,GF,GA,results,ot,shotsfor,shotsagainst,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,season
34,12/18/2018,New Jersey Devils,7,2,W,,31,29,49,45,52.1,44,37,54.3,28,26,51.9,48.6,117.2,2018
35,12/20/2018,Florida Panthers,6,1,W,,26,26,57,48,54.3,36,37,49.3,23,25,47.9,50,114.3,2018
36,12/22/2018,New York Rangers,5,3,W,,36,28,60,53,53.1,47,43,52.2,29,17,63,53.1,105.6,2018
37,12/23/2018,Detroit Red Wings,5,4,W,OT,24,30,42,46,47.7,35,39,47.3,23,21,52.3,54.2,110.2,2018
38,12/28/2018,Columbus Blue Jackets,4,2,W,,29,29,47,60,43.9,35,44,44.3,32,22,59.3,47.6,103.8,2018
39,12/29/2018,New York Islanders,0,4,L,,36,28,63,50,55.8,46,41,52.9,31,26,54.4,58,88,2018
40,1/3/2019,Minnesota Wild,3,4,L,,41,34,59,48,55.1,46,36,56.1,36,24,60,40.2,96.8,2018
41,1/5/2019,Vancouver Canucks,5,0,W,,34,28,69,46,60,50,33,60.2,32,17,65.3,42.1,114.7,2018
42,1/7/2019,Nashville Predators,0,4,L,,18,32,52,56,48.1,30,42,41.7,16,24,40,53.6,90.3,2018
43,1/10/2019,New Jersey Devils,4,2,W,,43,29,64,46,58.2,55,38,59.1,34,37,47.9,65.5,102.2,2018
44,1/12/2019,Boston Bruins,2,3,L,,32,29,63,46,57.8,44,37,54.3,23,24,48.9,51.6,92.5,2018
45,1/14/2019,Colorado Avalanche,3,6,L,,20,38,36,58,38.3,23,45,33.8,27,18,60,34.5,103.4,2018
46,1/17/2019,Tampa Bay Lightning,4,2,W,,31,38,47,52,47.5,41,36,53.2,26,33,44.1,40,111.1,2018
47,1/18/2019,Florida Panthers,1,3,L,,21,29,40,41,49.4,30,35,46.2,32,27,54.2,41.2,93.7,2018
48,1/20/2019,Arizona Coyotes,2,4,L,,26,31,71,42,62.8,42,35,54.5,23,13,63.9,79.2,93.9,2018
